year,smlv,pob
1996,142125,38068050
1997,172005,38635691
1998,203826,39184456
1999,236460,39730798
2000,260100,40295563
2001,286000,40813541
2002,309000,41328824
2003,332000,41848959
2004,358000,42368489
2005,381500,42888592
2006,408000,43405956
2007,433700,43926929
2008,461500,44451147
2009,496900,44978832
2010,515000,45509584
2011,535600,46044601
2012,566700,46581823
2013,589500,47121089
2014,616000,47661787
2015,644350,48203405
2016,689455,48747708
2017,737717,49291609
2018,781242,49834240
2019,828116,50374478
