Date,Inverargos t,BCOLOM t,EUR t,TRM t
05/01/1996,1558.75,3774.81,1.3349,998.68
08/01/1996,1558.75,3774.81,1.333,997.06
09/01/1996,1557.5,3774.81,1.3312,997.06
10/01/1996,1557.5,3675.47,1.3351,1003.44
11/01/1996,1518.75,3675.47,1.3351,1003.86
12/01/1996,1512.5,3576.14,1.3332,1002.59
15/01/1996,1500,3576.14,1.3291,1005.63
16/01/1996,1500,3576.14,1.3201,1011.59
17/01/1996,1500,3576.14,1.3146,1011.72
18/01/1996,1437.5,3576.14,1.3104,1010.34
19/01/1996,1437.5,3387.39,1.3024,1015.1
22/01/1996,1415,3476.8,1.3045,1018.99
23/01/1996,1415,3377.46,1.3028,1019.17
24/01/1996,1387.5,3377.46,1.3002,1024.89
25/01/1996,1387.5,3377.46,1.3012,1026.08
26/01/1996,1387.5,3447,1.2893,1026.78
29/01/1996,1487.5,3447,1.2938,1026.89
30/01/1996,1475,3675.47,1.2913,1027.61
31/01/1996,1492.5,3725.14,1.2943,1028.14
01/02/1996,1512.5,3774.81,1.292,1026.3
02/02/1996,1512.5,3774.81,1.2967,1024.89
05/02/1996,1512.5,3774.81,1.3098,1021.29
06/02/1996,1487.5,3774.81,1.3086,1022.93
07/02/1996,1525,3774.81,1.304,1021.3
08/02/1996,1537.5,3725.14,1.304,1022.28
09/02/1996,1537.5,3774.81,1.3045,1024.17
12/02/1996,1550,3774.81,1.3074,1023.07
13/02/1996,1550,3774.81,1.3036,1027.54
14/02/1996,1550,3814.54,1.3084,1028.58
15/02/1996,1550,3774.81,1.3057,1027.57
16/02/1996,1550,3774.81,1.3141,1030.67
19/02/1996,1512.5,3774.81,1.3277,1029.5
20/02/1996,1512.5,3824.48,1.3189,1033.41
21/02/1996,1500,3784.74,1.3228,1034.34
22/02/1996,1512.5,3784.74,1.3231,1035.43
23/02/1996,1512.5,3849.31,1.3256,1035.04
26/02/1996,1525,3824.48,1.3284,1036.71
27/02/1996,1542.5,3824.48,1.3254,1038.49
28/02/1996,1542.5,3824.48,1.3194,1039.06
29/02/1996,1525,3824.48,1.3123,1039.81
01/03/1996,1525,3824.48,1.307,1039.9
04/03/1996,1500,3824.48,1.3072,1040.7
05/03/1996,1475,3824.48,1.3058,1041.28
06/03/1996,1400,3576.14,1.3079,1041.83
07/03/1996,1400,3576.14,1.306,1042.03
08/03/1996,1405,3576.14,1.3012,1042.61
11/03/1996,1375,3576.14,1.3024,1042.42
12/03/1996,1375,3476.8,1.3046,1043.5
13/03/1996,1375,3476.8,1.3111,1044.07
